                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.73034,                0.69396,                 2.2304,                0.74353,                0.78145,                0.78809,                 0.6128,                0.80979,                0.84038,                  2.748,              0.0001982,              0.0001982,              0.0001982
                     89,                0.71819,                0.67699,                 2.1961,                0.79916,                 0.7637,                0.80746,                0.62141,                0.82067,                0.80437,                 2.7433,             0.00018406,             0.00018406,             0.00018406
                     90,                0.72706,                0.68671,                 2.2418,                0.77484,                0.77807,                0.80052,                0.62468,                0.81409,                0.81785,                 2.7523,             0.00016991,             0.00016991,             0.00016991
                     91,                0.58504,                0.49809,                 2.1578,                0.80167,                0.77546,                0.81081,                0.63094,                0.81128,                0.80163,                 2.7125,             0.00015576,             0.00015576,             0.00015576
                     92,                0.56506,                0.45392,                 2.1191,                0.76852,                0.78573,                0.80503,                0.63151,                0.80105,                0.82421,                 2.7101,             0.00014161,             0.00014161,             0.00014161
                     93,                0.57526,                0.47387,                 2.1511,                0.78298,                 0.7659,                 0.7969,                0.62403,                0.80779,                0.83199,                 2.7028,             0.00012747,             0.00012747,             0.00012747
                     94,                0.57098,                 0.4587,                 2.1386,                0.78552,                0.76757,                0.81216,                0.64144,                0.81331,                0.80861,                 2.7311,             0.00011332,             0.00011332,             0.00011332
                     95,                0.56468,                 0.4518,                  2.139,                0.75561,                0.78578,                0.80377,                0.63234,                0.79903,                0.82308,                 2.7235,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.55831,                0.44806,                  2.124,                0.77498,                0.76623,                0.80067,                0.63476,                 0.7995,                0.80912,                 2.7295,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.55587,                0.44816,                 2.1284,                0.77333,                0.76603,                0.80583,                0.64113,                0.79869,                0.80794,                 2.7146,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.55967,                0.44785,                 2.1185,                0.78129,                0.76586,                0.81058,                0.64155,                0.80814,                0.80061,                 2.7235,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.54926,                0.43877,                 2.1223,                0.78917,                0.76659,                0.81516,                0.64481,                0.80635,                0.79752,                 2.7329,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.54703,                0.43201,                 2.0951,                0.78443,                0.76623,                 0.8119,                0.64375,                0.80305,                0.80541,                 2.7288,             2.8437e-05,             2.8437e-05,             2.8437e-05
